GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
identity-service,com.hfing.identity_service.enums,Role,0,15,0,0,0,3,0,1,0,1
identity-service,com.hfing.identity_service,IdentityServiceApplication,5,3,0,0,2,1,1,1,1,1
identity-service,com.hfing.identity_service.validator,DobValidator,3,28,2,2,1,7,2,3,0,3
identity-service,com.hfing.identity_service.controller,Usercontroller,57,18,0,0,19,6,6,3,6,3
identity-service,com.hfing.identity_service.controller,RoleController,22,6,0,0,8,1,3,1,3,1
identity-service,com.hfing.identity_service.controller,AuthenticationController,37,6,0,0,15,1,4,1,4,1
identity-service,com.hfing.identity_service.controller,PermissionController,22,6,0,0,8,1,3,1,3,1
identity-service,com.hfing.identity_service.service,PermissionService,36,13,0,0,7,2,3,2,3,2
identity-service,com.hfing.identity_service.service,UserService,84,87,0,2,13,15,6,6,6,5
identity-service,com.hfing.identity_service.service,AuthenticationService,318,13,14,0,83,2,18,2,11,2
identity-service,com.hfing.identity_service.service,RoleService,45,16,0,0,8,2,3,2,3,2
identity-service,com.hfing.identity_service.exception,ErrorCode,3,104,0,0,1,17,1,4,1,4
identity-service,com.hfing.identity_service.exception,GlobalExceptionHandler,55,69,1,1,19,17,4,4,3,4
identity-service,com.hfing.identity_service.exception,AppException,4,11,0,0,2,4,1,2,1,2
